destination,month,trip_duration,stay_cost,transport_cost,food_cost,activity_cost,availability,rating,total_cost
Goa,January,2,3552,2336,1336,605,1,4.2,11381
Gokarna,October,5,1289,2366,3810,1015,1,4.5,13636
Manali,May,5,2760,3038,4110,1008,1,4.4,21956
Gokarna,January,4,1343,2999,2192,1451,1,4.2,12014
Goa,January,2,2260,2400,1400,1258,1,3.9,9578
Goa,March,5,3989,2956,4035,643,1,3.9,27579
Goa,December,5,2616,2328,2515,1201,1,4.4,19124
Goa,June,2,2858,2520,1696,1472,1,4.1,11404
Ooty,July,5,1732,955,3600,771,1,4.4,13986
Goa,June,2,2214,1593,1754,1241,1,4.4,9016
Ooty,May,4,1261,834,3024,716,1,4.1,9618
Ooty,October,2,1170,1598,1362,602,1,4.0,5902
Coorg,December,4,2309,1486,2652,1492,1,4.1,14866
Ooty,October,2,1647,1343,1328,952,1,4.0,6917
Rishikesh,January,4,1502,5612,2896,1229,1,4.4,15745
Gokarna,March,4,1172,2703,3540,944,1,4.1,11875
Goa,January,2,3271,2810,1000,863,1,4.3,11215
Rishikesh,March,4,2788,4238,3220,1893,1,4.2,20503
Coorg,July,4,2449,1653,2712,958,1,4.4,15119
Rishikesh,January,3,2875,4685,1746,2205,1,4.4,17261
Manali,June,5,3356,5988,3840,1842,1,4.0,28450
Coorg,June,4,2410,1210,2832,975,1,3.8,14657
Gokarna,March,3,1614,2590,2457,661,1,4.5,10550
Goa,March,4,2193,2559,2216,692,1,3.9,14239
Manali,July,3,2075,3798,2127,1488,0,4.1,13638
Coorg,October,2,2431,1106,1442,591,1,4.3,8001
Coorg,June,5,1757,1342,3460,1282,1,4.2,14869
